#/global/homes/j/joeschm/st_research/NSTXU_discharges/139047/NSTXU139047.iterdb
#rhot VROT
1.055959000000000064e-01 1.369838999999999942e+05
1.058457000000000009e-01 1.368488999999999942e+05
1.060954000000000064e-01 1.367143999999999942e+05
1.063452000000000008e-01 1.365802999999999884e+05
1.065949000000000063e-01 1.364467999999999884e+05
1.068447000000000008e-01 1.363137000000000116e+05
1.070944000000000063e-01 1.361812000000000116e+05
1.073442000000000007e-01 1.360492000000000116e+05
1.075939000000000062e-01 1.359177999999999884e+05
1.078437000000000007e-01 1.357870000000000000e+05
1.080934000000000061e-01 1.356567000000000116e+05
1.083432000000000006e-01 1.355270000000000000e+05
1.085929000000000061e-01 1.353978999999999942e+05
1.088427000000000006e-01 1.352692999999999884e+05
1.090924000000000060e-01 1.351413999999999942e+05
1.093422000000000005e-01 1.350138999999999942e+05
1.095919000000000060e-01 1.348871000000000058e+05
1.098417000000000004e-01 1.347607000000000116e+05
1.100914000000000059e-01 1.346348999999999942e+05
1.103412000000000004e-01 1.345096000000000058e+05
1.105909000000000059e-01 1.343848999999999942e+05
1.108407000000000003e-01 1.342606000000000058e+05
1.110904000000000058e-01 1.341367999999999884e+05
1.113402000000000003e-01 1.340135000000000000e+05
1.115899000000000058e-01 1.338907000000000116e+05
1.118397000000000002e-01 1.337683999999999942e+05
1.120894000000000057e-01 1.336465000000000000e+05
1.123392000000000002e-01 1.335251000000000058e+05
1.125889000000000056e-01 1.334041000000000058e+05
1.128387000000000001e-01 1.332835000000000000e+05
1.130884000000000056e-01 1.331633999999999942e+05
1.133382000000000001e-01 1.330436000000000058e+05
1.135879000000000055e-01 1.329242000000000116e+05
1.138377000000000000e-01 1.328052000000000116e+05
1.140874000000000055e-01 1.326863999999999942e+05
1.143371999999999999e-01 1.325680000000000000e+05
1.145869000000000054e-01 1.324498999999999942e+05
1.148366999999999999e-01 1.323320000000000000e+05
1.150864000000000054e-01 1.322142999999999884e+05
1.153361999999999998e-01 1.320968999999999942e+05
1.155859000000000053e-01 1.319797000000000116e+05
1.158356999999999998e-01 1.318627000000000116e+05
1.160854000000000052e-01 1.317457999999999884e+05
1.163351999999999997e-01 1.316291000000000058e+05
1.165849000000000052e-01 1.315125000000000000e+05
1.168346999999999997e-01 1.313961000000000058e+05
1.170844000000000051e-01 1.312797000000000116e+05
1.173341999999999996e-01 1.311636000000000058e+05
1.175839000000000051e-01 1.310476000000000058e+05
1.178336999999999996e-01 1.309318000000000029e+05
1.180834000000000050e-01 1.308161000000000058e+05
1.183331999999999995e-01 1.307006999999999971e+05
1.185829000000000050e-01 1.305853999999999942e+05
1.188326999999999994e-01 1.304703999999999942e+05
1.190824000000000049e-01 1.303556000000000058e+05
1.193321999999999994e-01 1.302410000000000000e+05
1.195819000000000049e-01 1.301266999999999971e+05
1.198316999999999993e-01 1.300126000000000058e+05
1.200814000000000048e-01 1.298988000000000029e+05
1.203311999999999993e-01 1.297853000000000029e+05
1.205809000000000047e-01 1.296721999999999971e+05
1.208306999999999992e-01 1.295593000000000029e+05
1.210804000000000047e-01 1.294466000000000058e+05
1.213301999999999992e-01 1.293343000000000029e+05
1.215799000000000046e-01 1.292223000000000029e+05
1.218296999999999991e-01 1.291105000000000000e+05
1.220794000000000046e-01 1.289988999999999942e+05
1.223291999999999990e-01 1.288876000000000058e+05
1.225789000000000045e-01 1.287765000000000000e+05
1.228286999999999990e-01 1.286656000000000058e+05
1.230784999999999935e-01 1.285550000000000000e+05
1.233281999999999989e-01 1.284445000000000000e+05
1.235779999999999934e-01 1.283343000000000029e+05
1.238276999999999989e-01 1.282241999999999971e+05
1.240774999999999934e-01 1.281143000000000029e+05
1.243271999999999988e-01 1.280045000000000000e+05
1.245769999999999933e-01 1.278948999999999942e+05
1.248266999999999988e-01 1.277853999999999942e+05
1.250765000000000071e-01 1.276761000000000058e+05
1.253261999999999987e-01 1.275668999999999942e+05
1.255759999999999932e-01 1.274578999999999942e+05
1.258257000000000125e-01 1.273490000000000000e+05
1.260755000000000070e-01 1.272401000000000058e+05
1.263251999999999986e-01 1.271313999999999942e+05
1.265749999999999931e-01 1.270228000000000029e+05
1.268247000000000124e-01 1.269143000000000029e+05
1.270745000000000069e-01 1.268058999999999942e+05
1.273241999999999985e-01 1.266976000000000058e+05
1.275739999999999930e-01 1.265893000000000029e+05
1.278237000000000123e-01 1.264811000000000058e+05
1.280735000000000068e-01 1.263730000000000000e+05
1.283231999999999984e-01 1.262650000000000000e+05
1.285729999999999928e-01 1.261570000000000000e+05
1.288227000000000122e-01 1.260491999999999971e+05
1.290725000000000067e-01 1.259415000000000000e+05
1.293221999999999983e-01 1.258341000000000058e+05
1.295719999999999927e-01 1.257268999999999942e+05
1.298217000000000121e-01 1.256200000000000000e+05
1.300715000000000066e-01 1.255133999999999942e+05
1.303211999999999982e-01 1.254071999999999971e+05
1.305709999999999926e-01 1.253013000000000029e+05
1.308207000000000120e-01 1.251958999999999942e+05
1.310705000000000064e-01 1.250908999999999942e+05
1.313201999999999980e-01 1.249863999999999942e+05
1.315699999999999925e-01 1.248823999999999942e+05
1.318197000000000119e-01 1.247790000000000000e+05
1.320695000000000063e-01 1.246761999999999971e+05
1.323191999999999979e-01 1.245738000000000029e+05
1.325689999999999924e-01 1.244721000000000058e+05
1.328187000000000118e-01 1.243708000000000029e+05
1.330685000000000062e-01 1.242698999999999942e+05
1.333181999999999978e-01 1.241695000000000000e+05
1.335679999999999923e-01 1.240695000000000000e+05
1.338177000000000116e-01 1.239698000000000029e+05
1.340675000000000061e-01 1.238705000000000000e+05
1.343171999999999977e-01 1.237715000000000000e+05
1.345669999999999922e-01 1.236728000000000029e+05
1.348167000000000115e-01 1.235743999999999942e+05
1.350665000000000060e-01 1.234761000000000058e+05
1.353161999999999976e-01 1.233781000000000058e+05
1.355659999999999921e-01 1.232803000000000029e+05
1.358157000000000114e-01 1.231826999999999971e+05
1.360655000000000059e-01 1.230851999999999971e+05
1.363151999999999975e-01 1.229878999999999942e+05
1.365649999999999920e-01 1.228906999999999971e+05
1.368147000000000113e-01 1.227938000000000029e+05
1.370645000000000058e-01 1.226968999999999942e+05
1.373141999999999974e-01 1.226003000000000029e+05
1.375639999999999918e-01 1.225038000000000029e+05
1.378137000000000112e-01 1.224073999999999942e+05
1.380635000000000057e-01 1.223111999999999971e+05
1.383131999999999973e-01 1.222151000000000058e+05
1.385629999999999917e-01 1.221191999999999971e+05
1.388127000000000111e-01 1.220235000000000000e+05
1.390625000000000056e-01 1.219278000000000029e+05
1.393121999999999971e-01 1.218323999999999942e+05
1.395619999999999916e-01 1.217370000000000000e+05
1.398117000000000110e-01 1.216418999999999942e+05
1.400615000000000054e-01 1.215468999999999942e+05
1.403111999999999970e-01 1.214520000000000000e+05
1.405609999999999915e-01 1.213573999999999942e+05
1.408107000000000109e-01 1.212628999999999942e+05
1.410605000000000053e-01 1.211686000000000058e+05
1.413101999999999969e-01 1.210746000000000058e+05
1.415599999999999914e-01 1.209806999999999971e+05
1.418097000000000107e-01 1.208870000000000000e+05
1.420595000000000052e-01 1.207935000000000000e+05
1.423091999999999968e-01 1.207003000000000029e+05
1.425589999999999913e-01 1.206073000000000029e+05
1.428087000000000106e-01 1.205145000000000000e+05
1.430585000000000051e-01 1.204218999999999942e+05
1.433081999999999967e-01 1.203296000000000058e+05
1.435579999999999912e-01 1.202373999999999942e+05
1.438077000000000105e-01 1.201453000000000029e+05
